year,pro_minus_anti_D,pro_minus_anti_R
1875,"-0,19355","-0,08980"
1877,"-0,02913","-0,31967"
1879,"-0,25175","-0,30476"
1881,"-0,14198","-0,16129"
1883,"-0,32018","-0,30146"
1885,"-0,41313","-0,50177"
1887,"-0,26286","-0,35659"
1889,"-0,34483","-0,30539"
1891,"-0,27138","-0,29721"
1893,"-0,26757","-0,47418"
1895,"-0,30679","-0,32176"
1897,"-0,20417","-0,23896"
1899,"-0,29319","-0,21122"
1901,"-0,21368","-0,15748"
1903,"-0,37605","-0,33921"
1905,"-0,31667","-0,12364"
1907,"-0,26851","-0,17791"
1909,"-0,24505","-0,17446"
1911,"-0,23866","-0,16295"
1913,"-0,22133","-0,21494"
1915,"-0,27136","-0,24928"
1917,"-0,20426","-0,18116"
1919,"-0,14206","-0,08461"
1921,"-0,27339","-0,23308"
1923,"-0,21238","-0,16139"
1925,"-0,24419","-0,25492"
1927,"-0,15340","-0,16997"
1929,"-0,21368","-0,20387"
1931,"-0,27652","-0,21295"
1933,"-0,30541","-0,31087"
1935,"-0,19105","-0,17188"
1937,"-0,32527","-0,26136"
1939,"-0,25208","-0,23441"
1941,"-0,27122","-0,31750"
1943,"-0,16460","-0,15769"
1945,"-0,15648","-0,16056"
1947,"-0,12472","-0,14988"
1949,"-0,09244","-0,12079"
1951,"-0,01274","-0,12995"
1953,"-0,14717","-0,13067"
1955,"-0,07818","-0,01501"
1957,"0,05682","-0,00529"
1959,"0,18160","0,19280"
1961,"0,14833","0,14630"
1963,"0,14823","0,15645"
1965,"0,18656","0,17665"
1967,"0,24277","0,17518"
1969,"0,40441","0,15354"
1971,"0,30935","0,17284"
1973,"0,24922","0,20149"
1975,"0,25926","0,19237"
1977,"0,22669","0,18982"
1979,"0,18547","0,03553"
1981,"0,12532","-0,04545"
1983,"0,14970","0,03192"
1985,"0,10586","-0,11173"
1987,"0,20637","0,03659"
1989,"0,40769","0,16636"
1991,"0,35867","0,23587"
1993,"0,43816","0,27662"
1995,"0,06174","-0,33246"
1997,"0,05574","-0,19650"
1999,"0,27823","0,04587"
2001,"0,42079","0,12462"
2003,"0,23505","-0,09244"
2005,"0,27075","0,00178"
2007,"0,14111","-0,32567"
2009,"0,22287","-0,32049"
2011,"0,42552","-0,32094"
2013,"0,58642","-0,04130"
2015,"0,41769","-0,27955"
2017,"0,43651","-0,19968"
2019,"0,60152","-0,04180"
2021,"0,55007","-0,17827"
